Service Distribution,n,Num Customers,Avg Waiting Time,Confidence Interval
M,4,11250,8.575260300976206,"(7.98143553494504, 9.169085067007373)"
M,4,12500,8.465649439249376,"(7.8698785749179265, 9.061420303580825)"
M,4,13750,8.394917101716878,"(7.790978843597757, 8.998855359835998)"
M,4,15000,8.374374698718821,"(7.779666919591925, 8.969082477845717)"
M,4,16250,8.334322462876582,"(7.776754843024674, 8.89189008272849)"
M,4,17500,8.344834767596996,"(7.814807580840442, 8.87486195435355)"
M,4,18750,8.352977586269347,"(7.844051346691937, 8.861903825846756)"
M,4,20000,8.353503431630976,"(7.866089439001321, 8.840917424260631)"
M,4,21250,8.32420893619022,"(7.854388603411906, 8.794029268968531)"
M,4,22500,8.301332564036167,"(7.8512559535902255, 8.75140917448211)"
M,4,23750,8.250318121347936,"(7.8162024495402385, 8.684433793155634)"
D,4,0,0.0,"(0.0, 0.0)"
D,4,1250,4.096429554684082,"(3.6015276598296135, 4.591331449538551)"
D,4,2500,4.178592978422852,"(3.7532119874851166, 4.603973969360588)"
D,4,3750,4.458777498293807,"(4.0883818123931395, 4.829173184194474)"
D,4,5000,4.514407082374398,"(4.198947700685194, 4.829866464063603)"
D,4,6250,4.457674959805523,"(4.1650671871916405, 4.7502827324194055)"
D,4,7500,4.534874105578272,"(4.24682175890247, 4.822926452254073)"
D,4,8750,4.566266203635854,"(4.28660862326109, 4.845923784010617)"
D,4,10000,4.562705300921629,"(4.291559947013243, 4.833850654830015)"
D,4,11250,4.533092447961469,"(4.2787753952506185, 4.787409500672319)"
D,4,12500,4.571051108745333,"(4.314979428832124, 4.827122788658543)"
D,4,13750,4.587610298581395,"(4.340884920743809, 4.834335676418981)"
D,4,15000,4.611864603817467,"(4.366097227823126, 4.857631979811808)"
D,4,16250,4.579891393719059,"(4.347519316124563, 4.812263471313555)"
D,4,17500,4.535198099219429,"(4.320601445421106, 4.749794753017753)"
D,4,18750,4.530763345693112,"(4.3320840976856685, 4.729442593700555)"
D,4,20000,4.5244030622767335,"(4.339815542339712, 4.708990582213755)"
D,4,21250,4.515600227984395,"(4.343112517011924, 4.688087938956866)"
D,4,22500,4.541557163969213,"(4.375819864147687, 4.70729446379074)"
D,4,23750,4.527630774259574,"(4.370908065646438, 4.6843534828727105)"
H2,4,0,0.0,"(0.0, 0.0)"
H2,4,1250,9.477782497931122,"(8.06667370029194, 10.888891295570303)"
H2,4,2500,11.342776891189546,"(9.565465520943004, 13.120088261436088)"
H2,4,3750,12.337642048428936,"(10.385427732021013, 14.28985636483686)"
H2,4,5000,13.22843896610347,"(11.13299182485982, 15.32388610734712)"
H2,4,6250,14.304145894085819,"(12.050701765650855, 16.55759002252078)"
H2,4,7500,14.87615512375176,"(12.61134285527456, 17.14096739222896)"
H2,4,8750,15.01885313171245,"(12.883502622166343, 17.154203641258558)"
H2,4,10000,15.1436669407607,"(13.097268727284701, 17.190065154236695)"
H2,4,11250,15.19856677884869,"(13.259673512049817, 17.137460045647565)"
H2,4,12500,15.321242879656017,"(13.499924389964034, 17.142561369348)"
H2,4,13750,15.421751562885275,"(13.70961192401515, 17.1338912017554)"
H2,4,15000,15.555728331091839,"(13.951816331974612, 17.159640330209065)"
H2,4,16250,15.567560140073203,"(14.076682333006296, 17.05843794714011)"
H2,4,17500,15.40863426239692,"(14.027796313607908, 16.78947221118593)"
H2,4,18750,15.431950815102523,"(14.11030710688913, 16.753594523315915)"
H2,4,20000,15.392085129113116,"(14.10917806502113, 16.674992193205103)"
H2,4,21250,15.338979106581498,"(14.08354762961352, 16.594410583549475)"
H2,4,22500,15.336100549511395,"(14.09885338635273, 16.57334771267006)"
H2,4,23750,15.356082194090158,"(14.143135466353261, 16.569028921827055)"
